meeting_id,host_id,department_id,meeting_date,start_time,scheduled_duration_min,actual_duration_min,meeting_type,total_invited,total_joined,recording_enabled,chat_messages_count,reactions_count,screen_shares_count
ZM-88831486,HOST-0040,DEPT-007,2024-05-16,2024-05-16 08:30:00,60,41,External,5,5,False,0,5,2
ZM-83076970,HOST-0092,DEPT-001,2023-07-14,2023-07-14 15:00:00,15,14,Internal,24,19,True,41,14,2
ZM-26901217,HOST-0145,DEPT-004,2023-08-01,2023-08-01 13:15:00,90,96,Internal,28,28,True,29,14,2
ZM-43642236,HOST-0045,DEPT-002,2023-01-27,2023-01-27 08:30:00,30,28,External,5,4,False,5,3,3
ZM-25253751,HOST-0017,DEPT-008,2024-08-30,2024-08-30 17:00:00,15,13,Internal,26,20,False,28,0,0
ZM-18163847,HOST-0123,DEPT-007,2023-04-21,2023-04-21 14:00:00,60,59,Internal,5,4,False,7,5,4
ZM-53645651,HOST-0098,DEPT-010,2024-04-09,2024-04-09 10:15:00,90,85,Internal,16,11,False,6,8,1
ZM-22762205,HOST-0081,DEPT-007,2023-09-19,2023-09-19 10:45:00,45,51,Internal,5,4,False,6,0,3
ZM-27463800,HOST-0143,DEPT-001,2024-07-29,2024-07-29 13:45:00,60,58,External,2,2,True,5,1,1
ZM-98145654,HOST-0124,DEPT-004,2023-12-25,2023-12-25 12:00:00,120,139,Webinar,440,235,False,292,0,2
ZM-93446356,HOST-0143,DEPT-001,2024-11-04,2024-11-04 12:30:00,60,59,External,7,6,True,17,4,1
ZM-94982908,HOST-0008,DEPT-002,2023-08-09,2023-08-09 14:45:00,45,42,External,7,6,False,11,1,5
ZM-17061037,HOST-0040,DEPT-003,2023-02-20,2023-02-20 14:45:00,120,137,Webinar,360,221,True,20,113,1
ZM-48016697,HOST-0125,DEPT-009,2023-02-16,2023-02-16 15:00:00,30,28,External,2,2,True,6,2,0
ZM-26104026,HOST-0002,DEPT-008,2023-06-29,2023-06-29 16:30:00,30,25,External,3,3,True,1,4,1
ZM-52018286,HOST-0148,DEPT-007,2024-12-27,2024-12-27 15:30:00,60,64,External,3,2,False,5,3,5
ZM-58567046,HOST-0023,DEPT-007,2023-09-07,2023-09-07 13:30:00,90,76,Webinar,431,204,True,65,154,2
ZM-78444607,HOST-0050,DEPT-006,2024-10-22,2024-10-22 12:00:00,30,35,Internal,7,5,True,9,6,4
ZM-94281857,HOST-0127,DEPT-008,2024-08-16,2024-08-16 18:30:00,90,78,Webinar,492,160,True,228,50,0
ZM-46866075,HOST-0015,DEPT-006,2023-11-14,2023-11-14 15:00:00,60,64,Internal,4,3,True,5,0,0
ZM-89736043,HOST-0130,DEPT-007,2024-04-05,2024-04-05 16:15:00,90,83,Internal,4,3,True,0,3,4
ZM-96721710,HOST-0045,DEPT-001,2024-03-25,2024-03-25 16:15:00,90,57,Internal,14,10,False,16,2,3
ZM-94676162,HOST-0086,DEPT-002,2024-07-25,2024-07-25 16:15:00,60,57,Internal,13,12,False,26,11,3
ZM-98870276,HOST-0101,DEPT-003,2023-03-28,2023-03-28 15:45:00,45,42,External,12,10,False,0,2,0
ZM-80651318,HOST-0024,DEPT-011,2024-06-04,2024-06-04 11:30:00,45,51,External,9,7,False,18,20,3
ZM-78140959,HOST-0139,DEPT-012,2023-02-08,2023-02-08 18:15:00,120,132,Training,48,39,False,50,36,0
ZM-32218290,HOST-0113,DEPT-001,2023-09-01,2023-09-01 15:15:00,60,48,Internal,20,12,True,15,23,3
ZM-86560394,HOST-0113,DEPT-008,2024-05-29,2024-05-29 14:15:00,120,82,Webinar,468,281,True,475,130,1
ZM-59823245,HOST-0142,DEPT-002,2024-06-12,2024-06-12 12:45:00,30,28,External,10,10,False,17,10,3
ZM-56920514,HOST-0007,DEPT-007,2024-05-29,2024-05-29 11:45:00,45,43,Internal,5,4,False,6,6,1
ZM-29602406,HOST-0036,DEPT-001,2024-12-13,2024-12-13 17:00:00,30,30,Internal,5,3,False,6,2,4
ZM-66808292,HOST-0029,DEPT-005,2023-05-05,2023-05-05 11:45:00,15,19,Internal,23,18,False,4,25,4
ZM-12205915,HOST-0132,DEPT-010,2023-10-26,2023-10-26 17:45:00,60,68,Internal,8,6,False,6,3,3
ZM-78092370,HOST-0130,DEPT-009,2024-04-26,2024-04-26 15:30:00,15,15,Internal,11,8,False,3,8,2
ZM-23913528,HOST-0149,DEPT-012,2023-05-17,2023-05-17 10:45:00,60,55,Webinar,406,259,False,42,103,3
ZM-14963880,HOST-0076,DEPT-004,2023-07-24,2023-07-24 12:30:00,15,18,Internal,19,11,False,22,5,2
ZM-48401154,HOST-0092,DEPT-001,2023-12-06,2023-12-06 14:45:00,120,132,Training,34,31,False,22,25,1
ZM-45798645,HOST-0022,DEPT-012,2023-07-04,2023-07-04 12:30:00,90,78,Internal,6,5,False,9,2,4
ZM-69580374,HOST-0090,DEPT-008,2023-12-28,2023-12-28 09:00:00,90,101,Internal,24,18,False,10,4,2
ZM-29163535,HOST-0113,DEPT-001,2023-08-30,2023-08-30 13:45:00,45,35,Internal,21,17,False,20,2,2
ZM-20319387,HOST-0147,DEPT-003,2024-02-12,2024-02-12 09:00:00,45,42,Internal,26,18,False,26,20,2
ZM-69897763,HOST-0055,DEPT-010,2024-05-17,2024-05-17 08:15:00,30,29,Internal,30,24,False,30,4,0
